Topic_Code,Topic_Categories,Question,Response
AASKK04,Ensemble Techniques,What is Ensemble Techniques?,https://en.wikipedia.org/wiki/Ensemble_techniques
AASKK04,Ensemble Techniques,What are the advantages of Ensemble Techniques?,https://en.wikipedia.org/wiki/Ensemble_techniques
AASKK04,Ensemble Techniques,What are the benefits of Ensemble Techniques?,https://en.wikipedia.org/wiki/Ensemble_techniques
AASKK04,Ensemble Techniques,Which algorithms can be used in an Ensemble?,https://en.wikipedia.org/wiki/Ensemble_techniques
AASKK04,Ensemble Techniques,What is Bias Error?,https://en.wikipedia.org/wiki/Ensemble_techniques
AASKK04,Ensemble Techniques,What is Variance Error?,https://en.wikipedia.org/wiki/Ensemble_techniques
AASKK04,Ensemble Techniques,What is Out of Bag data?,https://en.wikipedia.org/wiki/Ensemble_techniques
AASKK04,Ensemble Techniques,What is Learning Curve?,https://en.wikipedia.org/wiki/Ensemble_techniques
AASKK04,Ensemble Techniques,What is Validation Curves?,https://en.wikipedia.org/wiki/Ensemble_techniques
AASKK04,Ensemble Techniques,What is Cross Validation?,https://en.wikipedia.org/wiki/Ensemble_techniques
AASKK04,Ensemble Techniques,What is difference between Bagging and Boosting?,https://en.wikipedia.org/wiki/Ensemble_techniques
AASKK04,Ensemble Types,What are the ensemble types?,https://en.wikipedia.org/wiki/Ensemble_techniques
AASKK04,Stacking,What is Stacking?,https://en.wikipedia.org/wiki/Stacking
AASKK04,Stacking,What are the advantages of Stacking?,https://en.wikipedia.org/wiki/Stacking
AASKK04,Stacking,Is the Stacking training dataset constant?,https://en.wikipedia.org/wiki/Stacking
AASKK04,Stacking,What are the disadvantages of Stacking?,https://en.wikipedia.org/wiki/Stacking
AASKK04,Stacking,What is Meta Learner Stacking?,https://en.wikipedia.org/wiki/Stacking
AASKK04,Stacking,What is Meta Classifier?,https://en.wikipedia.org/wiki/Stacking
AASKK04,Stacking,What are the different type of Meta Classifier available?,https://en.wikipedia.org/wiki/Stacking
AASKK04,Stacking,Logistic Meta Classifier,https://en.wikipedia.org/wiki/Stacking
AASKK04,Stacking,What is One Vs All?,https://en.wikipedia.org/wiki/Stacking
AASKK04,Stacking,What is One Vs Rest?,https://en.wikipedia.org/wiki/Stacking
AASKK04,Stacking,What is Base Classifier?,https://en.wikipedia.org/wiki/Stacking
AASKK04,Stacking,How Base Classifier and Meta Classifier related?,https://en.wikipedia.org/wiki/Stacking
AASKK04,Stacking,What is Blending?,https://en.wikipedia.org/wiki/Stacking
AASKK04,Randomization,What is Randomization?,https://en.wikipedia.org/wiki/Randomization
AASKK04,Randomization,What is Decision Tree algorithm?,https://en.wikipedia.org/wiki/Randomization
AASKK04,Randomization,What is Random Forest Algorithm?,https://en.wikipedia.org/wiki/Randomization
AASKK04,Randomization,Is Random Forest based on Decision Tree?,https://en.wikipedia.org/wiki/Randomization
AASKK04,Randomization,What is CART?,https://en.wikipedia.org/wiki/Randomization
AASKK04,Randomization,What is M5 Tree?,https://en.wikipedia.org/wiki/Randomization
AASKK04,Randomization,What is Regression Trees?,https://en.wikipedia.org/wiki/Randomization
AASKK04,Decision Tree,What is a Root Node?,https://en.wikipedia.org/wiki/Decision_tree
AASKK04,Decision Tree,What is a Decision Nodes?,https://en.wikipedia.org/wiki/Decision_tree
AASKK04,Decision Tree,What is a Leaf / Tail Node?,https://en.wikipedia.org/wiki/Decision_tree
AASKK04,Decision Tree,What is Gini Index?,https://en.wikipedia.org/wiki/Decision_tree
AASKK04,Decision Tree,What is Entropy?,https://en.wikipedia.org/wiki/Decision_tree
